REPOSITORY                                      TAG                 IMAGE ID            CREATED             SIZE
wolfhesse/dotnetapp-sample                      latest              8d63a55513df        3 hours ago         1.65GB
localhost:5000/dotnetapp-sample                 latest              76655da7602e        29 hours ago        1.64GB
localhost:5000/dotnetapp-sample                 <none>              ec28845aebb1        29 hours ago        1.64GB
localhost:5000/dotnetapp-dev                    latest              5e923398fab5        38 hours ago        1.64GB
localhost:5000/ase-sms-back                     latest              64ff40cdf340        7 days ago          524MB
localhost:5000/ase-sms-back                     <none>              df6a5e924fda        7 days ago          524MB
localhost:5000/ase-sms-back                     <none>              a1bbe6edbc2d        8 days ago          524MB
swaggerapi/swagger-editor                       latest              1e4fa91b9e6d        3 weeks ago         10.7MB
swaggerapi/swagger-ui                           latest              654b73705086        3 weeks ago         8.28MB
rocker/rstudio                                  latest              a5f9b268bb7b        4 weeks ago         1.06GB
docker.elastic.co/elasticsearch/elasticsearch   5.5.1               74ef44f69db6        4 weeks ago         544MB
registry                                        2                   751f286bc25e        5 weeks ago         33.2MB
busybox                                         latest              efe10ee6727f        5 weeks ago         1.13MB
centos                                          7                   36540f359ca3        7 weeks ago         193MB
rethinkdb                                       latest              be24926bde9a        2 months ago        183MB
localhost:5000/php-apache-phpinfo               latest              25fb80a70c57        2 months ago        389MB
localhost:5000/ubuntu                           latest              d355ed3537e9        2 months ago        119MB
hello-world                                     latest              1815c82652c0        2 months ago        1.84kB
swaggerapi/swagger-editor                       v2.10.5             690edd1e90ab        5 months ago        237MB
mobz/elasticsearch-head                         5                   b19a5c98e43b        7 months ago        824MB
